customer_id,churn,churn_date,churn_reason
C000001,0,,
C000002,0,,
C000003,0,,
C000004,0,,
C000005,1,2025-09-05,Bad customer service
C000006,0,,
C000007,0,,
C000008,0,,
C000009,1,2025-12-13,Switched to competitor
C000010,0,,
C000011,1,2024-12-19,Technical issues
C000012,0,,
C000013,0,,
C000014,0,,
C000015,0,,
C000016,0,,
C000017,0,,
C000018,0,,
C000019,0,,
C000020,0,,
C000021,0,,
C000022,0,,
C000023,0,,
C000024,0,,
C000025,0,,
C000026,0,,
C000027,0,,
C000028,0,,
C000029,1,2024-11-20,Not using enough
C000030,0,,
C000031,0,,
C000032,0,,
C000033,1,2025-11-16,Bad customer service
C000034,1,2025-12-12,Technical issues
C000035,0,,
C000036,0,,
C000037,0,,
C000038,0,,
C000039,0,,
C000040,0,,
C000041,0,,
C000042,0,,
C000043,0,,
C000044,1,2025-02-20,Not using enough
C000045,0,,
C000046,0,,
C000047,1,2025-06-29,Not using enough
C000048,0,,
C000049,0,,
C000050,1,2025-04-20,Switched to competitor
C000051,0,,
C000052,0,,
C000053,0,,
C000054,0,,
C000055,1,2025-06-18,Bad customer service
C000056,0,,
C000057,0,,
C000058,0,,
C000059,0,,
C000060,0,,
C000061,0,,
C000062,0,,
C000063,1,2025-10-03,Price too high
C000064,0,,
C000065,0,,
C000066,0,,
C000067,1,2025-08-27,Bad customer service
C000068,0,,
C000069,0,,
C000070,1,2025-03-28,Price too high
C000071,0,,
C000072,0,,
C000073,0,,
C000074,0,,
C000075,0,,
C000076,0,,
C000077,1,2025-08-18,Better offer elsewhere
C000078,0,,
C000079,0,,
C000080,0,,
C000081,0,,
C000082,0,,
C000083,0,,
C000084,1,2025-06-11,Not using enough
C000085,0,,
C000086,1,2025-10-20,Technical issues
C000087,0,,
C000088,0,,
C000089,0,,
C000090,0,,
C000091,1,2025-07-12,Technical issues
C000092,0,,
C000093,0,,
C000094,1,2024-10-04,Not using enough
C000095,0,,
C000096,0,,
C000097,0,,
C000098,0,,
C000099,0,,
C000100,1,2025-11-29,Bad customer service
C000101,0,,
C000102,0,,
C000103,0,,
C000104,0,,
C000105,0,,
C000106,0,,
C000107,0,,
C000108,0,,
C000109,0,,
C000110,1,2025-12-20,Price too high
C000111,0,,
C000112,0,,
C000113,0,,
C000114,1,2025-10-19,Bad customer service
C000115,0,,
C000116,0,,
C000117,0,,
C000118,1,2025-12-01,Poor content quality
C000119,0,,
C000120,0,,
C000121,0,,
C000122,1,2025-09-14,Better offer elsewhere
C000123,0,,
C000124,1,2025-07-18,Switched to competitor
C000125,0,,
C000126,0,,
C000127,0,,
C000128,1,2025-10-17,Technical issues
C000129,1,2025-12-26,Price too high
C000130,0,,
C000131,1,2025-05-24,Bad customer service
C000132,0,,
C000133,1,2025-04-11,Financial constraints
C000134,0,,
C000135,0,,
C000136,0,,
C000137,1,2025-08-02,Better offer elsewhere
C000138,0,,
C000139,1,2025-12-01,Switched to competitor
C000140,0,,
C000141,0,,
C000142,1,2025-11-07,Bad customer service
C000143,0,,
C000144,0,,
C000145,0,,
C000146,0,,
C000147,0,,
C000148,0,,
C000149,0,,
C000150,0,,
C000151,0,,
C000152,0,,
C000153,0,,
C000154,1,2025-12-21,Price too high
C000155,0,,
C000156,0,,
C000157,0,,
C000158,0,,
C000159,0,,
C000160,0,,
C000161,0,,
C000162,1,2025-03-21,Poor content quality
C000163,0,,
C000164,0,,
C000165,0,,
C000166,1,2025-04-12,Poor content quality
C000167,0,,
C000168,0,,
C000169,0,,
C000170,0,,
C000171,0,,
C000172,0,,
C000173,1,2025-12-12,Price too high
C000174,0,,
C000175,0,,
C000176,0,,
C000177,0,,
C000178,0,,
C000179,0,,
C000180,1,2025-12-05,Bad customer service
C000181,0,,
C000182,1,2025-12-28,Bad customer service
C000183,1,2024-12-12,Better offer elsewhere
C000184,0,,
C000185,1,2025-02-24,Switched to competitor
C000186,1,2025-10-04,Price too high
C000187,0,,
C000188,0,,
C000189,0,,
C000190,1,2025-08-07,Price too high
C000191,0,,
C000192,0,,
C000193,0,,
C000194,0,,
C000195,0,,
C000196,0,,
C000197,0,,
C000198,0,,
C000199,0,,
C000200,0,,
C000201,0,,
C000202,0,,
C000203,0,,
C000204,1,2025-05-17,Price too high
C000205,0,,
C000206,0,,
C000207,1,2025-12-16,Switched to competitor
C000208,0,,
C000209,1,2025-12-25,Financial constraints
C000210,1,2025-05-07,Price too high
C000211,0,,
C000212,0,,
C000213,0,,
C000214,0,,
C000215,1,2025-01-09,Technical issues
C000216,0,,
C000217,0,,
C000218,0,,
C000219,0,,
C000220,0,,
C000221,0,,
C000222,0,,
C000223,0,,
C000224,0,,
C000225,0,,
C000226,0,,
C000227,0,,
C000228,0,,
C000229,0,,
C000230,0,,
C000231,1,2025-12-08,Bad customer service
C000232,0,,
C000233,0,,
C000234,0,,
C000235,0,,
C000236,0,,
C000237,0,,
C000238,1,2024-10-27,Switched to competitor
C000239,1,2025-08-17,Bad customer service
C000240,1,2025-12-28,Technical issues
C000241,0,,
C000242,1,2025-12-22,Better offer elsewhere
C000243,0,,
C000244,0,,
C000245,0,,
C000246,1,2025-10-21,Not using enough
C000247,1,2025-11-03,Price too high
C000248,0,,
C000249,0,,
C000250,0,,
C000251,0,,
C000252,0,,
C000253,0,,
C000254,0,,
C000255,0,,
C000256,0,,
C000257,0,,
C000258,1,2025-03-31,Poor content quality
C000259,0,,
C000260,0,,
C000261,0,,
C000262,0,,
C000263,0,,
C000264,0,,
C000265,1,2025-12-27,Technical issues
C000266,0,,
C000267,1,2025-07-29,Switched to competitor
C000268,0,,
C000269,0,,
C000270,1,2025-10-06,Financial constraints
C000271,0,,
C000272,0,,
C000273,0,,
C000274,0,,
C000275,0,,
C000276,0,,
C000277,0,,
C000278,1,2025-05-02,Poor content quality
C000279,0,,
C000280,0,,
C000281,0,,
C000282,1,2025-08-15,Better offer elsewhere
C000283,1,2025-05-02,Bad customer service
C000284,0,,
C000285,0,,
C000286,0,,
C000287,0,,
C000288,0,,
C000289,0,,
C000290,1,2025-05-15,Financial constraints
C000291,0,,
C000292,1,2025-06-01,Switched to competitor
C000293,0,,
C000294,0,,
C000295,0,,
C000296,0,,
C000297,0,,
C000298,0,,
C000299,0,,
C000300,0,,
C000301,0,,
C000302,0,,
C000303,0,,
C000304,0,,
C000305,0,,
C000306,0,,
C000307,0,,
C000308,0,,
C000309,0,,
C000310,0,,
C000311,0,,
C000312,1,2025-11-22,Technical issues
C000313,1,2024-10-29,Bad customer service
C000314,0,,
C000315,0,,
C000316,0,,
C000317,0,,
C000318,0,,
C000319,0,,
C000320,0,,
C000321,0,,
C000322,1,2025-08-31,Financial constraints
C000323,1,2025-10-17,Financial constraints
C000324,0,,
C000325,1,2024-09-09,Bad customer service
C000326,0,,
C000327,0,,
C000328,1,2025-12-02,Bad customer service
C000329,0,,
C000330,0,,
C000331,0,,
C000332,0,,
C000333,0,,
C000334,0,,
C000335,1,2025-12-26,Poor content quality
C000336,0,,
C000337,0,,
C000338,0,,
C000339,0,,
C000340,1,2025-09-16,Bad customer service
C000341,0,,
C000342,0,,
C000343,0,,
C000344,0,,
C000345,0,,
C000346,1,2025-12-26,Financial constraints
C000347,0,,
C000348,1,2025-06-17,Not using enough
C000349,1,2025-12-21,Switched to competitor
C000350,0,,
C000351,0,,
C000352,0,,
C000353,0,,
C000354,1,2025-05-15,Bad customer service
C000355,1,2025-07-09,Not using enough
C000356,0,,
C000357,1,2025-06-20,Technical issues
