customer_id,age,gender,location,signup_date,device_type,acquisition_channel
C000001,50,Female,Nagpur,2024-10-26,Web,Ads
C000002,34,Male,Patna,2024-07-29,Android,Partner
C000003,45,Female,Bangalore,2025-04-11,Android,Ads
C000004,18,Male,Nagpur,2025-03-11,iOS,Ads
C000005,40,Male,Vadodara,2025-02-17,Android,Organic
C000006,24,Female,Nagpur,2024-11-23,Web,Ads
C000007,24,Male,Vadodara,2024-10-16,Android,Referral
C000008,29,Male,Hyderabad,2024-10-01,Android,Organic
C000009,18,Male,Vadodara,2025-09-09,Web,Ads
C000010,36,Male,Patna,2024-08-05,Android,Organic
C000011,33,Male,Kolkata,2024-08-03,Android,Organic
C000012,34,Female,Vadodara,2024-10-07,Android,Ads
C000013,40,Female,Hyderabad,2025-02-12,Web,Organic
C000014,47,Female,Hyderabad,2025-02-27,iOS,Partner
C000015,28,Male,Pune,2024-07-31,Android,Organic
C000016,36,Male,Pune,2025-01-23,iOS,Ads
C000017,34,Male,Bhopal,2025-09-06,Android,Organic
C000018,35,Male,Bhopal,2025-02-14,Android,Organic
C000019,35,Female,Chennai,2025-10-06,iOS,Ads
C000020,47,Male,Thane,2025-04-14,iOS,Partner
C000021,27,Female,Hyderabad,2024-07-10,Android,Ads
C000022,18,Male,Nagpur,2024-12-14,Android,Referral
C000023,25,Male,Vadodara,2025-09-09,Android,Organic
C000024,39,Male,Pune,2025-06-17,iOS,Organic
C000025,32,Male,Kanpur,2025-04-14,iOS,Referral
C000026,27,Male,Jaipur,2024-12-10,iOS,Ads
C000027,21,Male,Visakhapatnam,2025-02-09,iOS,Ads
C000028,34,Male,Delhi,2025-06-13,iOS,Organic
C000029,38,Female,Bhopal,2024-10-16,Web,Organic
C000030,35,Female,Pune,2024-10-06,Android,Ads
C000031,29,Male,Patna,2025-07-28,Android,Partner
C000032,33,Male,Pune,2024-10-11,Android,Organic
C000033,33,Female,Mumbai,2025-07-06,Android,Partner
C000034,33,Other,Bangalore,2025-06-21,iOS,Organic
C000035,20,Female,Surat,2025-03-31,Web,Ads
C000036,33,Male,Thane,2024-08-17,Android,Organic
C000037,27,Female,Bangalore,2025-10-17,Web,Ads
C000038,42,Female,Nagpur,2024-11-08,Android,Organic
C000039,33,Male,Hyderabad,2025-07-26,Android,Organic
C000040,40,Female,Ahmedabad,2024-09-22,iOS,Partner
C000041,28,Male,Hyderabad,2025-04-30,Android,Referral
C000042,29,Other,Patna,2025-07-09,Android,Referral
C000043,46,Female,Pune,2025-01-16,iOS,Organic
C000044,36,Female,Surat,2024-09-13,Web,Partner
C000045,24,Female,Hyderabad,2024-08-19,iOS,Ads
C000046,40,Male,Nagpur,2025-02-22,Android,Partner
C000047,26,Female,Jaipur,2025-04-26,Android,Organic
C000048,34,Female,Jaipur,2024-09-23,Web,Organic
C000049,50,Female,Vadodara,2025-02-27,Android,Partner
C000050,18,Female,Bangalore,2024-10-15,Web,Ads
C000051,30,Female,Kanpur,2025-07-28,Android,Partner
C000052,36,Other,Surat,2025-04-14,iOS,Organic
C000053,39,Female,Ghaziabad,2025-10-11,iOS,Ads
C000054,19,Female,Surat,2025-07-12,Android,Partner
C000055,18,Male,Visakhapatnam,2024-12-17,iOS,Ads
C000056,42,Female,Indore,2025-07-18,Android,Referral
C000057,24,Male,Bhopal,2025-07-02,iOS,Organic
C000058,24,Male,Lucknow,2025-02-03,iOS,Organic
C000059,47,Male,Hyderabad,2025-04-03,Android,Organic
C000060,32,Female,Lucknow,2024-09-15,iOS,Ads
C000061,32,Female,Ghaziabad,2024-12-26,Android,Referral
C000062,30,Female,Kanpur,2025-03-11,Android,Ads
C000063,19,Male,Jaipur,2024-12-18,iOS,Ads
C000064,38,Female,Thane,2025-10-20,Android,Referral
C000065,36,Female,Jaipur,2025-07-27,iOS,Organic
C000066,33,Male,Pune,2025-04-06,Android,Partner
C000067,30,Male,Kanpur,2025-02-13,Android,Partner
C000068,29,Male,Ghaziabad,2025-06-01,Android,Organic
C000069,41,Female,Indore,2024-08-30,Android,Organic
C000070,30,Female,Bhopal,2025-02-23,iOS,Organic
C000071,31,Male,Vadodara,2024-08-05,iOS,Referral
C000072,37,Other,Bangalore,2025-05-23,Web,Organic
C000073,34,Male,Surat,2025-08-18,Android,Referral
C000074,48,Male,Ghaziabad,2025-04-04,iOS,Ads
C000075,18,Male,Vadodara,2024-09-09,iOS,Referral
C000076,34,Male,Ahmedabad,2025-02-05,Android,Referral
C000077,24,Male,Ghaziabad,2025-05-22,iOS,Partner
C000078,22,Male,Ahmedabad,2025-02-06,iOS,Organic
C000079,27,Female,Bangalore,2025-11-27,Android,Organic
C000080,32,Male,Lucknow,2025-08-13,iOS,Organic
C000081,32,Female,Nagpur,2025-10-16,Android,Ads
C000082,18,Female,Jaipur,2024-11-27,Android,Ads
C000083,26,Male,Kolkata,2025-04-01,Android,Partner
C000084,34,Female,Thane,2024-11-23,Web,Referral
C000085,23,Male,Bhopal,2025-03-13,Android,Organic
C000086,20,Female,Chennai,2025-03-30,Android,Referral
