customer_id,plan_type,monthly_price,start_date,end_date,is_active,auto_renew
C000001,Standard,499,2024-10-26,,1,1
C000002,Standard,499,2024-07-29,,1,1
C000003,Standard,499,2025-04-11,,1,1
C000004,Basic,199,2025-03-11,,1,1
C000005,Premium,999,2025-02-17,2025-09-05,0,0
C000006,Basic,199,2024-11-23,,1,1
C000007,Basic,199,2024-10-16,,1,1
C000008,Standard,499,2024-10-01,,1,1
C000009,Premium,999,2025-09-09,2025-12-13,0,0
C000010,Premium,999,2024-08-05,,1,1
C000011,Standard,499,2024-08-03,2024-12-19,0,0
C000012,Basic,199,2024-10-07,,1,1
C000013,Standard,499,2025-02-12,,1,1
C000014,Premium,999,2025-02-27,,1,1
C000015,Standard,499,2024-07-31,,1,1
C000016,Premium,999,2025-01-23,,1,1
C000017,Basic,199,2025-09-06,,1,1
C000018,Premium,999,2025-02-14,,1,1
C000019,Premium,999,2025-10-06,,1,0
C000020,Standard,499,2025-04-14,,1,0
C000021,Standard,499,2024-07-10,,1,1
C000022,Premium,999,2024-12-14,,1,0
C000023,Basic,199,2025-09-09,,1,0
C000024,Basic,199,2025-06-17,,1,0
C000025,Premium,999,2025-04-14,,1,1
C000026,Premium,999,2024-12-10,,1,0
C000027,Premium,999,2025-02-09,,1,0
C000028,Premium,999,2025-06-13,,1,1
C000029,Standard,499,2024-10-16,2024-11-20,0,0
C000030,Standard,499,2024-10-06,,1,1
C000031,Standard,499,2025-07-28,,1,0
C000032,Standard,499,2024-10-11,,1,1
C000033,Premium,999,2025-07-06,2025-11-16,0,0
C000034,Standard,499,2025-06-21,2025-12-12,0,0
C000035,Basic,199,2025-03-31,,1,1
C000036,Premium,999,2024-08-17,,1,1
C000037,Basic,199,2025-10-17,,1,1
C000038,Basic,199,2024-11-08,,1,1
C000039,Premium,999,2025-07-26,,1,0
C000040,Premium,999,2024-09-22,,1,1
C000041,Basic,199,2025-04-30,,1,1
C000042,Basic,199,2025-07-09,,1,0
C000043,Standard,499,2025-01-16,,1,0
C000044,Premium,999,2024-09-13,2025-02-20,0,0
C000045,Premium,999,2024-08-19,,1,0
C000046,Basic,199,2025-02-22,,1,0
C000047,Premium,999,2025-04-26,2025-06-29,0,0
C000048,Premium,999,2024-09-23,,1,1
C000049,Premium,999,2025-02-27,,1,0
C000050,Basic,199,2024-10-15,2025-04-20,0,0
C000051,Basic,199,2025-07-28,,1,1
C000052,Standard,499,2025-04-14,,1,0
C000053,Standard,499,2025-10-11,,1,1
C000054,Basic,199,2025-07-12,,1,0
C000055,Basic,199,2024-12-17,2025-06-18,0,0
C000056,Basic,199,2025-07-18,,1,1
C000057,Basic,199,2025-07-02,,1,1
