ticket_id,customer_id,ticket_date,issue_type,resolution_time_hours,is_resolved
TKT000001,C000001,2024-11-13,Network,24.02,1
TKT000002,C000002,2024-08-31,AppBug,29.06,1
TKT000003,C000002,2025-01-26,AppBug,17.13,1
TKT000004,C000002,2025-06-04,Refund,21.8,1
TKT000005,C000004,2025-06-03,AppBug,9.34,1
TKT000006,C000005,2025-06-22,Billing,64.08,1
TKT000007,C000005,2025-06-07,Billing,53.83,1
TKT000008,C000005,2025-03-23,Refund,29.7,1
TKT000009,C000005,2025-05-07,AppBug,52.71,1
TKT000010,C000006,2025-11-24,Billing,14.79,1
TKT000011,C000007,2025-05-03,Account,24.24,1
TKT000012,C000007,2025-06-22,AppBug,17.55,0
TKT000013,C000007,2025-11-11,Account,36.11,1
TKT000014,C000009,2025-09-23,Refund,20.64,1
TKT000015,C000009,2025-11-20,Billing,40.32,0
TKT000016,C000009,2025-12-04,Billing,53.83,0
TKT000017,C000010,2025-12-20,Billing,34.03,0
TKT000018,C000010,2025-11-29,AppBug,25.05,1
TKT000019,C000011,2024-12-02,Refund,66.4,1
TKT000020,C000011,2024-09-12,Billing,44.03,1
TKT000021,C000011,2024-12-10,Billing,38.69,0
TKT000022,C000012,2024-11-04,Network,13.63,1
TKT000023,C000012,2025-04-25,Billing,17.93,1
TKT000024,C000013,2025-06-26,Account,12.06,1
TKT000025,C000014,2025-11-07,AppBug,16.5,1
TKT000026,C000015,2025-08-21,Account,14.94,1
TKT000027,C000015,2025-07-27,Billing,32.91,0
TKT000028,C000016,2025-06-17,Network,20.4,1
TKT000029,C000016,2025-07-06,Billing,34.7,1
TKT000030,C000017,2025-09-13,Account,8.59,0
TKT000031,C000017,2025-09-09,Refund,39.55,1
TKT000032,C000017,2025-11-20,Network,9.44,1
TKT000033,C000017,2025-09-11,Refund,15.56,1
TKT000034,C000019,2025-10-22,Refund,39.36,1
TKT000035,C000022,2025-06-19,Refund,18.25,1
TKT000036,C000022,2025-06-10,Billing,38.82,1
TKT000037,C000023,2025-12-21,Network,8.98,1
TKT000038,C000025,2025-04-27,Network,18.95,1
TKT000039,C000025,2025-10-05,Refund,30.16,1
TKT000040,C000027,2025-08-22,Billing,20.1,1
TKT000041,C000027,2025-03-30,Billing,21.38,1
TKT000042,C000027,2025-09-16,Account,8.3,1
TKT000043,C000028,2025-09-09,Account,35.63,1
