txn_id,customer_id,txn_date,amount,payment_status,payment_method
TXN00000001,C000001,2024-10-26,494.67,success,NetBanking
TXN00000002,C000001,2024-11-25,476.13,success,Card
TXN00000003,C000001,2024-12-25,492.51,success,Wallet
TXN00000004,C000001,2025-01-24,516.11,success,NetBanking
TXN00000005,C000001,2025-02-23,503.77,success,Wallet
TXN00000006,C000001,2025-03-25,514.63,success,Card
TXN00000007,C000001,2025-04-24,475.14,success,NetBanking
TXN00000008,C000001,2025-05-24,491.96,success,Card
TXN00000009,C000001,2025-06-23,500.21,success,UPI
TXN00000010,C000001,2025-07-23,497.9,success,UPI
TXN00000011,C000001,2025-08-22,520.48,success,UPI
TXN00000012,C000001,2025-09-21,493.37,success,NetBanking
TXN00000013,C000001,2025-10-21,496.9,success,Wallet
TXN00000014,C000001,2025-11-20,515.06,success,UPI
TXN00000015,C000001,2025-12-20,488.79,success,NetBanking
TXN00000016,C000002,2024-07-29,493.8,success,Card
TXN00000017,C000002,2024-08-28,495.18,success,Wallet
TXN00000018,C000002,2024-09-27,497.79,success,Card
TXN00000019,C000002,2024-10-27,522.11,success,UPI
TXN00000020,C000002,2024-11-26,515.35,success,NetBanking
TXN00000021,C000002,2024-12-26,520.99,success,NetBanking
TXN00000022,C000002,2025-01-25,480.43,success,Card
TXN00000023,C000002,2025-02-24,495.88,success,Card
TXN00000024,C000002,2025-03-26,476.6,success,Card
TXN00000025,C000002,2025-04-25,481.34,success,NetBanking
TXN00000026,C000002,2025-05-25,514.58,success,Card
TXN00000027,C000002,2025-06-24,519.29,success,NetBanking
TXN00000028,C000002,2025-07-24,502.99,success,Card
TXN00000029,C000002,2025-08-23,480.18,success,Card
TXN00000030,C000002,2025-09-22,486.31,success,UPI
TXN00000031,C000002,2025-10-22,493.82,success,Card
TXN00000032,C000002,2025-11-21,494.19,success,UPI
TXN00000033,C000002,2025-12-21,477.52,success,Wallet
TXN00000034,C000003,2025-04-11,484.12,success,Card
TXN00000035,C000003,2025-05-11,482.97,success,UPI
TXN00000036,C000003,2025-06-10,504.09,success,Card
TXN00000037,C000003,2025-07-10,499.3,success,UPI
TXN00000038,C000003,2025-08-09,508.05,success,UPI
TXN00000039,C000003,2025-09-08,501.56,success,Card
TXN00000040,C000003,2025-10-08,511.98,success,Wallet
TXN00000041,C000003,2025-11-07,493.03,success,NetBanking
TXN00000042,C000003,2025-12-07,501.11,success,Card
TXN00000043,C000004,2025-03-11,195.92,success,Card
TXN00000044,C000004,2025-04-10,195.17,success,UPI
TXN00000045,C000004,2025-05-10,195.94,success,Card
TXN00000046,C000004,2025-06-09,198.17,success,UPI
TXN00000047,C000004,2025-07-09,199.65,success,Wallet
TXN00000048,C000004,2025-08-08,199.68,success,UPI
TXN00000049,C000004,2025-09-07,193.63,success,Card
TXN00000050,C000004,2025-10-07,205.85,success,NetBanking
TXN00000051,C000004,2025-11-06,190.02,success,UPI
TXN00000052,C000004,2025-12-06,203.95,success,UPI
TXN00000053,C000005,2025-02-17,962.66,success,UPI
TXN00000054,C000005,2025-03-19,959.96,success,UPI
TXN00000055,C000005,2025-04-18,999.81,success,NetBanking
TXN00000056,C000005,2025-05-18,986.0,success,Wallet
TXN00000057,C000005,2025-06-17,1008.73,success,NetBanking
TXN00000058,C000005,2025-07-17,1040.03,success,Card
TXN00000059,C000005,2025-08-16,1014.18,success,Card
TXN00000060,C000006,2024-11-23,190.52,success,Card
TXN00000061,C000006,2024-12-23,189.06,success,NetBanking
TXN00000062,C000006,2025-01-22,191.6,success,Card
TXN00000063,C000006,2025-02-21,194.68,success,Card
TXN00000064,C000006,2025-03-23,196.32,success,NetBanking
TXN00000065,C000006,2025-04-22,199.36,success,UPI
TXN00000066,C000006,2025-05-22,197.49,success,NetBanking
TXN00000067,C000006,2025-06-21,199.76,success,NetBanking
TXN00000068,C000006,2025-07-21,194.61,success,UPI
TXN00000069,C000006,2025-08-20,197.5,success,UPI
TXN00000070,C000006,2025-09-19,202.42,success,Card
TXN00000071,C000006,2025-10-19,195.18,success,Card
TXN00000072,C000006,2025-11-18,204.36,success,Card
TXN00000073,C000006,2025-12-18,191.99,success,Card
TXN00000074,C000007,2024-10-16,190.35,success,Wallet
TXN00000075,C000007,2024-11-15,203.89,success,Card
TXN00000076,C000007,2024-12-15,189.63,success,UPI
TXN00000077,C000007,2025-01-14,195.48,success,NetBanking
TXN00000078,C000007,2025-02-13,189.56,success,Card
TXN00000079,C000007,2025-03-15,195.33,success,UPI
TXN00000080,C000007,2025-04-14,206.97,success,Card
TXN00000081,C000007,2025-05-14,208.92,success,Card
TXN00000082,C000007,2025-06-13,195.9,success,NetBanking
TXN00000083,C000007,2025-07-13,199.42,success,Card
TXN00000084,C000007,2025-08-12,194.05,success,UPI
TXN00000085,C000007,2025-09-11,195.84,success,Card
TXN00000086,C000007,2025-10-11,200.3,success,Card
TXN00000087,C000007,2025-11-10,193.9,success,Card
TXN00000088,C000007,2025-12-10,189.48,success,UPI
TXN00000089,C000008,2024-10-01,500.06,failed,Card
TXN00000090,C000008,2024-10-31,474.25,success,NetBanking
TXN00000091,C000008,2024-11-30,489.89,success,UPI
TXN00000092,C000008,2024-12-30,495.46,failed,Card
TXN00000093,C000008,2025-01-29,506.84,success,UPI
TXN00000094,C000008,2025-02-28,486.58,success,NetBanking
TXN00000095,C000008,2025-03-30,500.66,success,Card
TXN00000096,C000008,2025-04-29,501.71,success,UPI
TXN00000097,C000008,2025-05-29,499.7,success,UPI
TXN00000098,C000008,2025-06-28,478.01,success,NetBanking
TXN00000099,C000008,2025-07-28,498.66,success,NetBanking
TXN00000100,C000008,2025-08-27,496.33,success,UPI
TXN00000101,C000008,2025-09-26,476.86,success,UPI
TXN00000102,C000008,2025-10-26,492.81,success,Card
TXN00000103,C000008,2025-11-25,481.97,success,Card
TXN00000104,C000008,2025-12-25,513.47,failed,NetBanking
TXN00000105,C000009,2025-09-09,966.37,success,NetBanking
TXN00000106,C000009,2025-10-09,956.57,success,Card
TXN00000107,C000009,2025-11-08,1013.36,success,NetBanking
TXN00000108,C000009,2025-12-08,959.27,success,UPI
TXN00000109,C000010,2024-08-05,1027.59,success,Card
TXN00000110,C000010,2024-09-04,1037.6,success,NetBanking
TXN00000111,C000010,2024-10-04,969.74,success,UPI
TXN00000112,C000010,2024-11-03,1002.09,success,UPI
TXN00000113,C000010,2024-12-03,985.33,success,Card
TXN00000114,C000010,2025-01-02,1005.46,success,UPI
TXN00000115,C000010,2025-02-01,963.73,success,Card
TXN00000116,C000010,2025-03-03,1032.57,success,UPI
TXN00000117,C000010,2025-04-02,1029.26,success,Card
TXN00000118,C000010,2025-05-02,990.83,success,Card
TXN00000119,C000010,2025-06-01,952.81,success,UPI
TXN00000120,C000010,2025-07-01,1003.23,success,UPI
TXN00000121,C000010,2025-07-31,1021.74,success,NetBanking
TXN00000122,C000010,2025-08-30,1047.96,success,Card
TXN00000123,C000010,2025-09-29,1008.36,success,UPI
TXN00000124,C000010,2025-10-29,1007.33,success,NetBanking
TXN00000125,C000010,2025-11-28,993.67,success,UPI
TXN00000126,C000010,2025-12-28,1014.17,failed,Card
TXN00000127,C000011,2024-08-03,478.96,success,UPI
TXN00000128,C000011,2024-09-02,492.85,success,UPI
TXN00000129,C000011,2024-10-02,491.0,success,Wallet
TXN00000130,C000011,2024-11-01,492.25,success,NetBanking
TXN00000131,C000011,2024-12-01,476.93,success,UPI
TXN00000132,C000012,2024-10-07,203.7,failed,UPI
TXN00000133,C000012,2024-11-06,206.44,success,UPI
TXN00000134,C000012,2024-12-06,195.18,success,Card
TXN00000135,C000012,2025-01-05,189.27,failed,NetBanking
TXN00000136,C000012,2025-02-04,193.11,success,Card
TXN00000137,C000012,2025-03-06,203.66,success,Card
TXN00000138,C000012,2025-04-05,207.93,success,Card
TXN00000139,C000012,2025-05-05,189.72,success,Card
TXN00000140,C000012,2025-06-04,197.32,success,UPI
TXN00000141,C000012,2025-07-04,200.05,success,UPI
TXN00000142,C000012,2025-08-03,206.71,success,UPI
TXN00000143,C000012,2025-09-02,201.56,success,UPI
TXN00000144,C000012,2025-10-02,202.44,success,Card
TXN00000145,C000012,2025-11-01,203.36,success,Wallet
TXN00000146,C000012,2025-12-01,191.67,success,Card
TXN00000147,C000012,2025-12-31,190.14,success,UPI
TXN00000148,C000013,2025-02-12,501.4,success,NetBanking
TXN00000149,C000013,2025-03-14,497.33,success,NetBanking
TXN00000150,C000013,2025-04-13,518.15,success,Wallet
TXN00000151,C000013,2025-05-13,502.21,success,NetBanking
TXN00000152,C000013,2025-06-12,510.34,success,Card
TXN00000153,C000013,2025-07-12,481.24,success,NetBanking
TXN00000154,C000013,2025-08-11,518.25,success,UPI
TXN00000155,C000013,2025-09-10,474.83,failed,UPI
TXN00000156,C000013,2025-10-10,501.69,success,Card
TXN00000157,C000013,2025-11-09,483.66,success,NetBanking
TXN00000158,C000013,2025-12-09,485.09,success,UPI
TXN00000159,C000014,2025-02-27,1017.02,success,Card
TXN00000160,C000014,2025-03-29,962.22,success,Card
TXN00000161,C000014,2025-04-28,1048.35,success,Card
TXN00000162,C000014,2025-05-28,1041.19,success,Card
TXN00000163,C000014,2025-06-27,1024.02,success,UPI
TXN00000164,C000014,2025-07-27,980.82,success,UPI
TXN00000165,C000014,2025-08-26,1034.94,success,Card
TXN00000166,C000014,2025-09-25,1047.1,success,UPI
TXN00000167,C000014,2025-10-25,951.55,success,UPI
TXN00000168,C000014,2025-11-24,1014.64,success,NetBanking
TXN00000169,C000014,2025-12-24,1022.54,success,Card
TXN00000170,C000015,2024-07-31,494.63,success,Card
TXN00000171,C000015,2024-08-30,520.52,success,Wallet
TXN00000172,C000015,2024-09-29,509.84,failed,NetBanking
TXN00000173,C000015,2024-10-29,494.83,success,NetBanking
TXN00000174,C000015,2024-11-28,509.69,success,NetBanking
TXN00000175,C000015,2024-12-28,510.38,success,UPI
TXN00000176,C000015,2025-01-27,484.7,success,UPI
TXN00000177,C000015,2025-02-26,509.6,success,NetBanking
TXN00000178,C000015,2025-03-28,483.46,success,Card
TXN00000179,C000015,2025-04-27,507.61,success,UPI
TXN00000180,C000015,2025-05-27,523.09,success,UPI
TXN00000181,C000015,2025-06-26,500.64,success,UPI
TXN00000182,C000015,2025-07-26,509.94,success,UPI
TXN00000183,C000015,2025-08-25,519.94,success,Card
TXN00000184,C000015,2025-09-24,512.35,success,UPI
TXN00000185,C000015,2025-10-24,479.04,success,Wallet
TXN00000186,C000015,2025-11-23,507.64,success,NetBanking
TXN00000187,C000015,2025-12-23,508.67,success,UPI
TXN00000188,C000016,2025-01-23,984.06,success,Wallet
TXN00000189,C000016,2025-02-22,977.81,success,Card
TXN00000190,C000016,2025-03-24,968.14,success,Card
TXN00000191,C000016,2025-04-23,965.92,success,NetBanking
TXN00000192,C000016,2025-05-23,978.72,success,Card
TXN00000193,C000016,2025-06-22,1025.98,success,NetBanking
TXN00000194,C000016,2025-07-22,981.31,success,NetBanking
TXN00000195,C000016,2025-08-21,960.45,success,NetBanking
TXN00000196,C000016,2025-09-20,1035.72,success,Card
TXN00000197,C000016,2025-10-20,1004.44,success,UPI
TXN00000198,C000016,2025-11-19,1010.99,failed,Card
TXN00000199,C000016,2025-12-19,1034.03,success,NetBanking
TXN00000200,C000017,2025-09-06,207.69,success,Card
TXN00000201,C000017,2025-10-06,207.05,success,Card
TXN00000202,C000017,2025-11-05,199.25,success,Wallet
TXN00000203,C000017,2025-12-05,195.36,success,Card
