customer_id,age,gender,location,device_type,acquisition_channel,plan_type,monthly_price,auto_renew,total_sessions_30d,avg_session_minutes_30d,total_crashes_30d,failed_payments_30d,total_amount_success_30d,support_tickets_30d,avg_resolution_time_30d,churn
C000001,50,Female,Nagpur,Web,Ads,Standard,499,1,207,30.09,3,0,488.79,0,0.0,0
C000002,34,Male,Patna,Android,Partner,Standard,499,1,233,27.37,5,0,477.52,0,0.0,0
C000003,45,Female,Bangalore,Android,Ads,Standard,499,1,206,25.24,3,0,501.11,0,0.0,0
C000004,18,Male,Nagpur,iOS,Ads,Basic,199,1,158,20.67,0,0,203.95,0,0.0,0
C000005,40,Male,Vadodara,Android,Organic,Premium,999,0,0,0.0,0,0,0.0,0,0.0,1
C000006,24,Female,Nagpur,Web,Ads,Basic,199,1,188,24.57,4,0,191.99,0,0.0,0
C000007,24,Male,Vadodara,Android,Referral,Basic,199,1,234,25.24,3,0,189.48,0,0.0,0
C000008,29,Male,Hyderabad,Android,Organic,Standard,499,1,169,17.49,0,1,0.0,0,0.0,0
C000009,18,Male,Vadodara,Web,Ads,Premium,999,0,5,2.45,2,0,959.27,1,53.83,1
C000010,36,Male,Patna,Android,Organic,Premium,999,1,200,21.11,3,1,0.0,1,34.03,0
C000011,33,Male,Kolkata,Android,Organic,Standard,499,0,0,0.0,0,0,0.0,0,0.0,1
C000012,34,Female,Vadodara,Android,Ads,Basic,199,1,194,27.89,3,0,381.81,0,0.0,0
C000013,40,Female,Hyderabad,Web,Organic,Standard,499,1,160,18.73,2,0,485.09,0,0.0,0
C000014,47,Female,Hyderabad,iOS,Partner,Premium,999,1,219,21.47,1,0,1022.54,0,0.0,0
C000015,28,Male,Pune,Android,Organic,Standard,499,1,188,25.05,6,0,508.67,0,0.0,0
C000016,36,Male,Pune,iOS,Ads,Premium,999,1,216,25.28,2,0,1034.03,0,0.0,0
C000017,34,Male,Bhopal,Android,Organic,Basic,199,1,203,20.63,2,0,195.36,0,0.0,0
C000018,35,Male,Bhopal,Android,Organic,Premium,999,1,169,20.18,0,0,981.44,0,0.0,0
C000019,35,Female,Chennai,iOS,Ads,Premium,999,0,196,22.08,7,0,981.24,0,0.0,0
C000020,47,Male,Thane,iOS,Partner,Standard,499,0,192,22.15,8,0,496.2,0,0.0,0
C000021,27,Female,Hyderabad,Android,Ads,Standard,499,1,237,21.98,6,0,513.51,0,0.0,0
C000022,18,Male,Nagpur,Android,Referral,Premium,999,0,233,33.23,0,0,1024.25,0,0.0,0
C000023,25,Male,Vadodara,Android,Organic,Basic,199,0,193,23.5,1,0,201.45,1,8.98,0
C000024,39,Male,Pune,iOS,Organic,Basic,199,0,191,23.87,0,0,195.54,0,0.0,0
C000025,32,Male,Kanpur,iOS,Referral,Premium,999,1,219,33.35030000000001,2,1,0.0,0,0.0,0
C000026,27,Male,Jaipur,iOS,Ads,Premium,999,0,200,24.16,2,0,989.47,0,0.0,0
C000027,21,Male,Visakhapatnam,iOS,Ads,Premium,999,0,200,24.09,3,0,987.81,0,0.0,0
C000028,34,Male,Delhi,iOS,Organic,Premium,999,1,196,21.34,5,0,981.17,0,0.0,0
C000029,38,Female,Bhopal,Web,Organic,Standard,499,0,0,0.0,0,0,0.0,0,0.0,1
C000030,35,Female,Pune,Android,Ads,Standard,499,1,198,25.21,3,0,480.52,0,0.0,0
C000031,29,Male,Patna,Android,Partner,Standard,499,0,228,29.21,0,0,491.07,0,0.0,0
C000032,33,Male,Pune,Android,Organic,Standard,499,1,190,20.68,1,0,500.62,0,0.0,0
C000033,33,Female,Mumbai,Android,Partner,Premium,999,0,0,0.0,0,0,0.0,0,0.0,1
C000034,33,Other,Bangalore,iOS,Organic,Standard,499,0,7,1.72,3,0,0.0,0,0.0,1
C000035,20,Female,Surat,Web,Ads,Basic,199,1,152,23.91,3,0,208.01,0,0.0,0
C000036,33,Male,Thane,Android,Organic,Premium,999,1,189,20.64,3,0,1022.61,0,0.0,0
