customer_id,churn_probability,churn_prediction,risk_category
C004157,0.9999999758864843,1,Very High
C001888,0.9999999684994615,1,Very High
C001235,0.999999956549582,1,Very High
C001665,0.9999999374569085,1,Very High
C002634,0.9999998969928756,1,Very High
C001573,0.9999998946638307,1,Very High
C004909,0.9999998922258991,1,Very High
C001780,0.9999997916068938,1,Very High
C003066,0.9999997180626152,1,Very High
C003731,0.9999997047359558,1,Very High
C003090,0.9999996641259459,1,Very High
C002219,0.9999996289009223,1,Very High
C003830,0.9999995917293144,1,Very High
C002805,0.9999995441916018,1,Very High
C001393,0.9999995000784861,1,Very High
C004465,0.9999994315124562,1,Very High
C003621,0.9999993369754181,1,Very High
C003579,0.9999993161795744,1,Very High
C002056,0.9999993068500939,1,Very High
C003864,0.999999216053159,1,Very High
C001276,0.9999991977609847,1,Very High
C004162,0.9999989925688006,1,Very High
C003160,0.9999989467155844,1,Very High
C000009,0.999998942412198,1,Very High
C004737,0.9999989203857461,1,Very High
C004282,0.9999988399460308,1,Very High
C001977,0.9999988214514884,1,Very High
C002995,0.9999986596690761,1,Very High
C001115,0.9999986494975603,1,Very High
C000845,0.999998621592473,1,Very High
C003074,0.9999981960714018,1,Very High
C002892,0.9999981124616623,1,Very High
C000842,0.9999980894779993,1,Very High
C002857,0.9999980246263557,1,Very High
C001943,0.9999976734936601,1,Very High
C000231,0.9999976427647174,1,Very High
C004838,0.999997572966003,1,Very High
C001884,0.9999975327429909,1,Very High
C002378,0.9999975244190765,1,Very High
C003464,0.9999974233745935,1,Very High
C004313,0.999997240673087,1,Very High
C000857,0.9999972297214722,1,Very High
C003015,0.9999971319340621,1,Very High
C004028,0.9999970892974769,1,Very High
C002006,0.9999968643440262,1,Very High
C001142,0.9999966023733222,1,Very High
C001752,0.9999963319214059,1,Very High
C002960,0.9999962939087875,1,Very High
C002253,0.9999962685856498,1,Very High
C002807,0.9999961628319948,1,Very High
C001357,0.9999958664669745,1,Very High
C004525,0.9999958217521088,1,Very High
C002198,0.9999958107389464,1,Very High
C000720,0.9999957935241341,1,Very High
