customer_id,churn_probability,segment_id,recommended_action
C000001,1.0989615672178293e-05,0,Offer loyalty reward + Exclusive content access
C000002,1.638442839425858e-05,0,Offer loyalty reward + Exclusive content access
C000003,2.8478278368984555e-05,0,Offer loyalty reward + Exclusive content access
C000004,0.00010901852604303946,0,Offer loyalty reward + Exclusive content access
C000005,0.9999505834935041,1,Offer premium discount (20%) + Schedule retention call
C000006,0.00010762420027472362,0,Offer loyalty reward + Exclusive content access
C000007,1.8953130901560536e-05,0,Offer loyalty reward + Exclusive content access
C000008,0.00019404268859729565,3,Offer loyalty reward + Exclusive content access
C000009,0.999998942412198,1,Offer premium discount (20%) + Schedule retention call
C000010,0.0007999650280466298,3,Offer loyalty reward + Exclusive content access
C000011,0.9999307978486023,1,Send re-engagement push notification + Personalized content
C000012,3.611182278899553e-05,0,Offer loyalty reward + Exclusive content access
C000013,0.00040738926390828284,0,Offer loyalty reward + Exclusive content access
C000014,8.461146933300685e-06,0,Offer loyalty reward + Exclusive content access
C000015,0.00017109829380546968,0,Offer loyalty reward + Exclusive content access
C000016,1.3087204818298315e-05,0,Offer loyalty reward + Exclusive content access
C000017,7.217007803915799e-05,0,Offer loyalty reward + Exclusive content access
C000018,5.447159253649785e-05,0,Offer loyalty reward + Exclusive content access
C000019,0.0012299923378274096,0,Offer loyalty reward + Exclusive content access
C000020,0.003368967719582964,0,Offer loyalty reward + Exclusive content access
C000021,3.567810027697432e-05,0,Offer loyalty reward + Exclusive content access
C000022,1.3029304850041208e-06,0,Offer loyalty reward + Exclusive content access
C000023,0.00038502319287721216,2,Offer loyalty reward + Exclusive content access
C000024,4.973178407622587e-05,0,Offer loyalty reward + Exclusive content access
C000025,6.2161326184434345e-06,3,Offer loyalty reward + Exclusive content access
C000026,0.0002818731461478283,0,Offer loyalty reward + Exclusive content access
C000027,0.00036536305762198195,0,Offer loyalty reward + Exclusive content access
C000028,0.0001664491949018155,0,Offer loyalty reward + Exclusive content access
C000029,0.99988743793581,1,Send re-engagement push notification + Personalized content
C000030,3.839554443608043e-05,0,Offer loyalty reward + Exclusive content access
C000031,3.5767577598843303e-06,0,Offer loyalty reward + Exclusive content access
C000032,6.147984887338219e-05,0,Offer loyalty reward + Exclusive content access
C000033,0.9999176887152057,1,Offer premium discount (20%) + Schedule retention call
C000034,0.9999075652751054,1,No specific action - Continue standard engagement
C000035,0.0004342876847236052,0,Offer loyalty reward + Exclusive content access
C000036,0.00018316774216274012,0,Offer loyalty reward + Exclusive content access
C000037,0.003351509429979757,2,Offer loyalty reward + Exclusive content access
C000038,3.858096277757004e-05,0,Offer loyalty reward + Exclusive content access
C000039,0.02190539119804592,3,Offer loyalty reward + Exclusive content access
C000040,3.285813502324966e-05,0,Offer loyalty reward + Exclusive content access
C000041,1.462822840554172e-05,0,Offer loyalty reward + Exclusive content access
C000042,0.0031432873349351107,0,Offer loyalty reward + Exclusive content access
C000043,7.629263428263786e-06,0,Offer loyalty reward + Exclusive content access
C000044,0.9999145070747458,1,Offer premium discount (20%) + Schedule retention call
C000045,0.00017914974141070304,0,Offer loyalty reward + Exclusive content access
C000046,6.090891778205506e-05,0,Offer loyalty reward + Exclusive content access
C000047,0.9999130090465429,1,Offer premium discount (20%) + Schedule retention call
C000048,3.70691228469976e-05,0,Offer loyalty reward + Exclusive content access
C000049,3.947184854015935e-06,0,Offer loyalty reward + Exclusive content access
C000050,0.9999048405179508,1,Send re-engagement push notification + Personalized content
C000051,9.7847262398337e-06,2,Offer loyalty reward + Exclusive content access
C000052,6.004397985108236e-06,0,Offer loyalty reward + Exclusive content access
C000053,2.8416412182085017e-06,0,Offer loyalty reward + Exclusive content access
C000054,2.1086228834223578e-05,0,Offer loyalty reward + Exclusive content access
C000055,0.9999288907439151,1,Send re-engagement push notification + Personalized content
C000056,1.8379252185072383e-05,0,Offer loyalty reward + Exclusive content access
C000057,0.00018994518771249243,2,Offer loyalty reward + Exclusive content access
C000058,4.25167899481747e-07,0,Offer loyalty reward + Exclusive content access
C000059,0.00016995887644449803,0,Offer loyalty reward + Exclusive content access
C000060,1.1595625528650401e-05,0,Offer loyalty reward + Exclusive content access
C000061,8.182067383511321e-05,2,Offer loyalty reward + Exclusive content access
C000062,7.162800728396317e-05,3,Offer loyalty reward + Exclusive content access
C000063,0.9999438318488616,1,Offer premium discount (20%) + Schedule retention call
C000064,0.0006859920254625109,0,Offer loyalty reward + Exclusive content access
C000065,0.00038454712435928383,0,Offer loyalty reward + Exclusive content access
C000066,4.767414315065875e-06,0,Offer loyalty reward + Exclusive content access
C000067,0.9999508602895172,1,Offer premium discount (20%) + Schedule retention call
C000068,0.0027456277581290123,2,Offer loyalty reward + Exclusive content access
C000069,6.828669625715736e-05,0,Offer loyalty reward + Exclusive content access
C000070,0.999857557568399,1,Send re-engagement push notification + Personalized content
C000071,1.9662469816614106e-05,0,Offer loyalty reward + Exclusive content access
C000072,9.389833990777158e-05,2,Offer loyalty reward + Exclusive content access
C000073,2.077461339829106e-05,0,Offer loyalty reward + Exclusive content access
C000074,2.9171684066640836e-05,0,Offer loyalty reward + Exclusive content access
C000075,9.230198162508003e-05,0,Offer loyalty reward + Exclusive content access
C000076,4.946251631702911e-05,2,Offer loyalty reward + Exclusive content access
C000077,0.9999278191934122,1,Offer premium discount (20%) + Schedule retention call
C000078,0.0005673117326595546,2,Offer loyalty reward + Exclusive content access
C000079,1.9365623014804048e-05,0,Offer loyalty reward + Exclusive content access
C000080,6.031266581843017e-05,2,Offer loyalty reward + Exclusive content access
C000081,2.0843593954435413e-05,0,Offer loyalty reward + Exclusive content access
C000082,1.481665543852704e-05,0,Offer loyalty reward + Exclusive content access
C000083,3.321228589051152e-05,0,Offer loyalty reward + Exclusive content access
C000084,0.9999213752478011,1,Send re-engagement push notification + Personalized content
C000085,0.0009219827957810536,2,Offer loyalty reward + Exclusive content access
C000086,0.9999087059664991,1,Send re-engagement push notification + Personalized content
C000087,0.0009900075019888507,0,Offer loyalty reward + Exclusive content access
C000088,0.0002231455497710377,2,Offer loyalty reward + Exclusive content access
C000089,8.680175630997065e-05,0,Offer loyalty reward + Exclusive content access
C000090,1.330175846354534e-05,0,Offer loyalty reward + Exclusive content access
C000091,0.9998628434204692,1,Send re-engagement push notification + Personalized content
C000092,2.490845785504962e-05,2,Offer loyalty reward + Exclusive content access
C000093,0.0029523274930882202,0,Offer loyalty reward + Exclusive content access
C000094,0.9998959692755356,1,Send re-engagement push notification + Personalized content
C000095,0.0004368063616671226,0,Offer loyalty reward + Exclusive content access
C000096,0.0038015208089345943,0,Offer loyalty reward + Exclusive content access
C000097,0.0018052466418217983,0,Offer loyalty reward + Exclusive content access
C000098,0.008683711112838976,0,Offer loyalty reward + Exclusive content access
C000099,2.560002165044791e-06,0,Offer loyalty reward + Exclusive content access
C000100,0.9999201093908853,1,Send re-engagement push notification + Personalized content
C000101,0.0005667483961108498,0,Offer loyalty reward + Exclusive content access
C000102,7.105306782407479e-05,0,Offer loyalty reward + Exclusive content access
C000103,5.82362405624059e-05,0,Offer loyalty reward + Exclusive content access
C000104,5.2221081422658384e-05,2,Offer loyalty reward + Exclusive content access
C000105,0.00026592024232943506,0,Offer loyalty reward + Exclusive content access
C000106,0.000683424657381559,0,Offer loyalty reward + Exclusive content access
C000107,1.3603565081837825e-05,0,Offer loyalty reward + Exclusive content access
C000108,9.386970654895001e-07,0,Offer loyalty reward + Exclusive content access
C000109,1.3220664731415537e-05,0,Offer loyalty reward + Exclusive content access
C000110,0.9998374872964935,1,No specific action - Continue standard engagement
C000111,3.30883018599551e-05,0,Offer loyalty reward + Exclusive content access
C000112,0.0002519026777954348,0,Offer loyalty reward + Exclusive content access
C000113,3.355407643031954e-05,0,Offer loyalty reward + Exclusive content access
C000114,0.9999428075379874,1,Send re-engagement push notification + Personalized content
C000115,5.440951955135774e-05,2,Offer loyalty reward + Exclusive content access
C000116,0.00038293001943640574,2,Offer loyalty reward + Exclusive content access
C000117,0.00024040691677484365,0,Offer loyalty reward + Exclusive content access
C000118,0.9998775022940771,1,Send re-engagement push notification + Personalized content
C000119,1.843068529331441e-05,0,Offer loyalty reward + Exclusive content access
C000120,1.5730216826305581e-06,0,Offer loyalty reward + Exclusive content access
C000121,3.229707832655053e-05,0,Offer loyalty reward + Exclusive content access
C000122,0.9999153894839852,1,Send re-engagement push notification + Personalized content
C000123,6.145155888342496e-06,0,Offer loyalty reward + Exclusive content access
C000124,0.9999463216021929,1,Send re-engagement push notification + Personalized content
C000125,0.0004781107047156722,0,Offer loyalty reward + Exclusive content access
C000126,0.0002000378492386838,0,Offer loyalty reward + Exclusive content access
C000127,0.0007498993943802921,0,Offer loyalty reward + Exclusive content access
C000128,0.9999065629383448,1,Offer premium discount (20%) + Schedule retention call
C000129,0.997155596459108,1,No specific action - Continue standard engagement
C000130,1.4381344769399245e-05,3,Offer loyalty reward + Exclusive content access
C000131,0.9999487676218181,1,Send re-engagement push notification + Personalized content
C000132,8.896259384510758e-06,0,Offer loyalty reward + Exclusive content access
C000133,0.9998999288876009,1,Send re-engagement push notification + Personalized content
C000134,4.769129746313873e-07,2,Offer loyalty reward + Exclusive content access
C000135,0.002077583513856742,0,Offer loyalty reward + Exclusive content access
C000136,1.3420263676262813e-07,0,Offer loyalty reward + Exclusive content access
C000137,0.9999140997336948,1,Send re-engagement push notification + Personalized content
C000138,0.0014637383423763137,0,Offer loyalty reward + Exclusive content access
C000139,0.9999410722353904,1,Send re-engagement push notification + Personalized content
C000140,7.753858804561517e-05,2,Offer loyalty reward + Exclusive content access
C000141,1.2668512871953299e-05,0,Offer loyalty reward + Exclusive content access
C000142,0.9998742520946056,1,Offer premium discount (20%) + Schedule retention call
C000143,1.3105353957359005e-05,0,Offer loyalty reward + Exclusive content access
C000144,2.2754757815698427e-05,0,Offer loyalty reward + Exclusive content access
C000145,3.465133641703649e-05,2,Offer loyalty reward + Exclusive content access
C000146,1.602746011214587e-05,0,Offer loyalty reward + Exclusive content access
C000147,3.9406375231704364e-06,0,Offer loyalty reward + Exclusive content access
C000148,6.104512191675486e-05,0,Offer loyalty reward + Exclusive content access
C000149,9.093173227791397e-07,2,Offer loyalty reward + Exclusive content access
C000150,0.0004087026309364506,0,Offer loyalty reward + Exclusive content access
C000151,1.9124983062711427e-05,0,Offer loyalty reward + Exclusive content access
C000152,0.0012129889337251167,0,Offer loyalty reward + Exclusive content access
C000153,1.5501684556657738e-05,0,Offer loyalty reward + Exclusive content access
C000154,0.9973711970224302,1,No specific action - Continue standard engagement
C000155,1.3675692511254852e-06,0,Offer loyalty reward + Exclusive content access
C000156,4.573362821290194e-06,0,Offer loyalty reward + Exclusive content access
C000157,0.0002055171072804227,0,Offer loyalty reward + Exclusive content access
C000158,0.0003835924038083679,0,Offer loyalty reward + Exclusive content access
C000159,0.0008005287549282576,3,Offer loyalty reward + Exclusive content access
C000160,0.00013390931126969815,0,Offer loyalty reward + Exclusive content access
C000161,4.0101424258809116e-05,0,Offer loyalty reward + Exclusive content access
C000162,0.9999222580234386,1,Send re-engagement push notification + Personalized content
C000163,2.54384107990957e-05,0,Offer loyalty reward + Exclusive content access
C000164,5.435381335731866e-05,0,Offer loyalty reward + Exclusive content access
C000165,0.00011138087103278973,0,Offer loyalty reward + Exclusive content access
C000166,0.9999070801369395,1,Offer premium discount (20%) + Schedule retention call
C000167,1.1515882477276445e-05,0,Offer loyalty reward + Exclusive content access
C000168,1.4739442894938994e-05,0,Offer loyalty reward + Exclusive content access
C000169,0.0005133144414421963,0,Offer loyalty reward + Exclusive content access
C000170,1.5250261318063106e-05,0,Offer loyalty reward + Exclusive content access
C000171,0.0006666112563813187,0,Offer loyalty reward + Exclusive content access
C000172,2.6999230228994472e-05,0,Offer loyalty reward + Exclusive content access
C000173,0.9999361222059858,1,No specific action - Continue standard engagement
C000174,0.0009139118989733726,2,Offer loyalty reward + Exclusive content access
C000175,2.205461948435558e-05,0,Offer loyalty reward + Exclusive content access
C000176,3.125811300576081e-05,0,Offer loyalty reward + Exclusive content access
C000177,0.001372962501420925,0,Offer loyalty reward + Exclusive content access
C000178,4.7481635587189757e-07,0,Offer loyalty reward + Exclusive content access
C000179,4.363826366997394e-06,0,Offer loyalty reward + Exclusive content access
C000180,0.9999759455138966,1,Send re-engagement push notification + Personalized content
