customer_id,segment_id,segment_name
C000001,0,High Value Engaged
C000002,0,High Value Engaged
C000003,0,High Value Engaged
C000004,0,High Value Engaged
C000005,1,At Risk
C000006,0,High Value Engaged
C000007,0,High Value Engaged
C000008,3,Price Sensitive
C000009,1,At Risk
C000010,3,Price Sensitive
C000011,1,At Risk
C000012,0,High Value Engaged
C000013,0,High Value Engaged
C000014,0,High Value Engaged
C000015,0,High Value Engaged
C000016,0,High Value Engaged
C000017,0,High Value Engaged
C000018,0,High Value Engaged
C000019,0,High Value Engaged
C000020,0,High Value Engaged
C000021,0,High Value Engaged
C000022,0,High Value Engaged
C000023,2,Low Engagement
C000024,0,High Value Engaged
C000025,3,Price Sensitive
C000026,0,High Value Engaged
C000027,0,High Value Engaged
C000028,0,High Value Engaged
C000029,1,At Risk
C000030,0,High Value Engaged
C000031,0,High Value Engaged
C000032,0,High Value Engaged
C000033,1,At Risk
C000034,1,At Risk
C000035,0,High Value Engaged
C000036,0,High Value Engaged
C000037,2,Low Engagement
C000038,0,High Value Engaged
C000039,3,Price Sensitive
C000040,0,High Value Engaged
C000041,0,High Value Engaged
C000042,0,High Value Engaged
C000043,0,High Value Engaged
C000044,1,At Risk
C000045,0,High Value Engaged
C000046,0,High Value Engaged
C000047,1,At Risk
C000048,0,High Value Engaged
C000049,0,High Value Engaged
C000050,1,At Risk
C000051,2,Low Engagement
C000052,0,High Value Engaged
C000053,0,High Value Engaged
C000054,0,High Value Engaged
C000055,1,At Risk
C000056,0,High Value Engaged
C000057,2,Low Engagement
C000058,0,High Value Engaged
C000059,0,High Value Engaged
C000060,0,High Value Engaged
C000061,2,Low Engagement
C000062,3,Price Sensitive
C000063,1,At Risk
C000064,0,High Value Engaged
C000065,0,High Value Engaged
C000066,0,High Value Engaged
C000067,1,At Risk
C000068,2,Low Engagement
C000069,0,High Value Engaged
C000070,1,At Risk
C000071,0,High Value Engaged
C000072,2,Low Engagement
C000073,0,High Value Engaged
C000074,0,High Value Engaged
C000075,0,High Value Engaged
C000076,2,Low Engagement
C000077,1,At Risk
C000078,2,Low Engagement
C000079,0,High Value Engaged
C000080,2,Low Engagement
C000081,0,High Value Engaged
C000082,0,High Value Engaged
C000083,0,High Value Engaged
C000084,1,At Risk
C000085,2,Low Engagement
C000086,1,At Risk
C000087,0,High Value Engaged
C000088,2,Low Engagement
C000089,0,High Value Engaged
C000090,0,High Value Engaged
C000091,1,At Risk
C000092,2,Low Engagement
C000093,0,High Value Engaged
C000094,1,At Risk
C000095,0,High Value Engaged
C000096,0,High Value Engaged
C000097,0,High Value Engaged
C000098,0,High Value Engaged
C000099,0,High Value Engaged
C000100,1,At Risk
C000101,0,High Value Engaged
C000102,0,High Value Engaged
C000103,0,High Value Engaged
C000104,2,Low Engagement
C000105,0,High Value Engaged
C000106,0,High Value Engaged
C000107,0,High Value Engaged
C000108,0,High Value Engaged
C000109,0,High Value Engaged
C000110,1,At Risk
C000111,0,High Value Engaged
C000112,0,High Value Engaged
C000113,0,High Value Engaged
C000114,1,At Risk
C000115,2,Low Engagement
C000116,2,Low Engagement
C000117,0,High Value Engaged
C000118,1,At Risk
C000119,0,High Value Engaged
C000120,0,High Value Engaged
C000121,0,High Value Engaged
C000122,1,At Risk
C000123,0,High Value Engaged
C000124,1,At Risk
C000125,0,High Value Engaged
C000126,0,High Value Engaged
C000127,0,High Value Engaged
C000128,1,At Risk
C000129,1,At Risk
C000130,3,Price Sensitive
C000131,1,At Risk
C000132,0,High Value Engaged
C000133,1,At Risk
C000134,2,Low Engagement
C000135,0,High Value Engaged
C000136,0,High Value Engaged
C000137,1,At Risk
C000138,0,High Value Engaged
C000139,1,At Risk
C000140,2,Low Engagement
C000141,0,High Value Engaged
C000142,1,At Risk
C000143,0,High Value Engaged
C000144,0,High Value Engaged
C000145,2,Low Engagement
C000146,0,High Value Engaged
C000147,0,High Value Engaged
C000148,0,High Value Engaged
C000149,2,Low Engagement
C000150,0,High Value Engaged
C000151,0,High Value Engaged
C000152,0,High Value Engaged
C000153,0,High Value Engaged
C000154,1,At Risk
C000155,0,High Value Engaged
C000156,0,High Value Engaged
C000157,0,High Value Engaged
C000158,0,High Value Engaged
C000159,3,Price Sensitive
C000160,0,High Value Engaged
C000161,0,High Value Engaged
C000162,1,At Risk
C000163,0,High Value Engaged
C000164,0,High Value Engaged
C000165,0,High Value Engaged
C000166,1,At Risk
C000167,0,High Value Engaged
C000168,0,High Value Engaged
C000169,0,High Value Engaged
C000170,0,High Value Engaged
C000171,0,High Value Engaged
C000172,0,High Value Engaged
C000173,1,At Risk
C000174,2,Low Engagement
C000175,0,High Value Engaged
C000176,0,High Value Engaged
C000177,0,High Value Engaged
C000178,0,High Value Engaged
C000179,0,High Value Engaged
C000180,1,At Risk
C000181,3,Price Sensitive
C000182,1,At Risk
C000183,1,At Risk
C000184,0,High Value Engaged
C000185,1,At Risk
C000186,1,At Risk
C000187,0,High Value Engaged
C000188,3,Price Sensitive
C000189,0,High Value Engaged
C000190,1,At Risk
C000191,2,Low Engagement
C000192,0,High Value Engaged
C000193,0,High Value Engaged
C000194,0,High Value Engaged
C000195,3,Price Sensitive
C000196,0,High Value Engaged
C000197,0,High Value Engaged
C000198,2,Low Engagement
C000199,2,Low Engagement
C000200,0,High Value Engaged
C000201,0,High Value Engaged
C000202,0,High Value Engaged
C000203,0,High Value Engaged
C000204,1,At Risk
C000205,0,High Value Engaged
C000206,0,High Value Engaged
C000207,1,At Risk
C000208,2,Low Engagement
C000209,1,At Risk
C000210,1,At Risk
C000211,0,High Value Engaged
C000212,0,High Value Engaged
C000213,0,High Value Engaged
C000214,0,High Value Engaged
C000215,1,At Risk
C000216,0,High Value Engaged
C000217,0,High Value Engaged
C000218,3,Price Sensitive
C000219,0,High Value Engaged
C000220,2,Low Engagement
C000221,0,High Value Engaged
C000222,0,High Value Engaged
C000223,0,High Value Engaged
C000224,0,High Value Engaged
C000225,0,High Value Engaged
C000226,0,High Value Engaged
C000227,2,Low Engagement
C000228,0,High Value Engaged
C000229,0,High Value Engaged
C000230,0,High Value Engaged
C000231,1,At Risk
C000232,0,High Value Engaged
C000233,0,High Value Engaged
C000234,0,High Value Engaged
C000235,0,High Value Engaged
C000236,0,High Value Engaged
C000237,0,High Value Engaged
C000238,1,At Risk
C000239,1,At Risk
C000240,1,At Risk
C000241,0,High Value Engaged
C000242,1,At Risk
C000243,0,High Value Engaged
C000244,0,High Value Engaged
C000245,0,High Value Engaged
C000246,1,At Risk
C000247,1,At Risk
C000248,2,Low Engagement
C000249,0,High Value Engaged
C000250,0,High Value Engaged
C000251,0,High Value Engaged
C000252,2,Low Engagement
C000253,0,High Value Engaged
C000254,0,High Value Engaged
C000255,0,High Value Engaged
C000256,0,High Value Engaged
C000257,0,High Value Engaged
C000258,1,At Risk
C000259,0,High Value Engaged
C000260,0,High Value Engaged
C000261,3,Price Sensitive
C000262,0,High Value Engaged
